file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
inside-out-2015.fountain,JOY,0,1,true,false,false,0
kubo-and-the-two-strings-2016.fountain,KUBO,0,0,false,false,false,0
crawl/sci-fi/executive-decision-pdf.fountain,GRANT,0,0,false,false,false,0
crawl/sci-fi/duchess-pdf.fountain,GEORGIANA,0,0,false,false,false,0
crawl/crime/limitless-html.fountain,EDDIE,0,0,false,false,false,0
crawl/crime/untraceable-pdf.fountain,MARSH,0,0,false,false,false,0
crawl/sci-fi/zootopia-pdf.fountain,HOPPS,0,0,false,false,false,0
crawl/action/legionnaire.fountain,ALAIN,0,0,false,false,false,0
crawl/comedy/the-hudsucker-proxy.fountain,NORVILLE,0,0,false,false,false,0
crawl/sci-fi/the-lost-city-of-z-pdf.fountain,PERCY FAWCETT,0,0,false,false,false,0
crawl/action/snatch-pdf.fountain,SOL,0,0,false,false,false,0
crawl/sci-fi/lion-pdf.fountain,SAROO,0,0,false,false,false,0
crawl/action/sgt-rock.fountain,ROCK,0,0,false,false,false,0
crawl/crime/what-lies-beneath.fountain,CLAIRE,0,0,false,false,false,0
crawl/sci-fi/the-fantastic-four.fountain,REED,0,0,false,false,false,0
crawl/sci-fi/liar-liar-pdf.fountain,FLETCHER,0,0,false,false,false,0
crawl/action/clerks.fountain,DANTE,0,0,false,false,false,0
crawl/sci-fi/state-and-main.fountain,JOE,0,0,false,false,false,0.23809523809523836
crawl/sci-fi/lady-bird-pdf.fountain,LADY BIRD,0,0,false,false,false,0
crawl/crime/human-nature.fountain,NATHAN,0,0,false,false,false,0
crawl/crime/training-day.fountain,ALONZO,0,0,false,false,false,0
crawl/action/wag-the-dog.fountain,BREAN,0,0,false,false,false,0
crawl/fantasy/five-feet-and-rising.fountain,VICTOR,0,0,false,false,false,4.333333333333334
crawl/action/the-village-originally-the-woods.fountain,IVY,0,0,false,false,false,0
crawl/action/suspect-zero.fountain,MACKELWAY,0,0,false,false,false,0
crawl/sci-fi/moonlight-pdf.fountain,KEVIN,0,0,false,false,false,0
crawl/sci-fi/black-snake-moan-pdf.fountain,LAZARUS,0,0,false,false,false,0
crawl/romance/true-romance-pdf.fountain,CLARENCE,0,0,false,false,false,0
crawl/drama/out-of-sight.fountain,FOLEY,0,0,false,false,false,0
crawl/sci-fi/10-things-i-hate-about-you.fountain,KAT,0,0,false,false,false,0
crawl/fantasy/cast-away.fountain,CHUCK,0,1,true,false,false,0
crawl/action/bringing-out-the-dead.fountain,FRANK,0,0,false,false,false,0
crawl/action/the-5th-element.fountain,KORBEN,0,0,false,false,false,0
crawl/action/valkyrie-html.fountain,STAUFFENBERG,0,0,false,false,false,0
crawl/action/bottle-rocket.fountain,DIGNAN,0,0,false,false,false,0
crawl/action/slither.fountain,BILL,0,0,false,false,false,0
crawl/crime/donnie-brasco.fountain,DONNIE,0,0,false,false,false,0
crawl/action/freaked-pdf.fountain,RICK,0,0,false,false,false,0
crawl/horror/zerophilia-html.fountain,LUKE,0,0,false,false,false,0
crawl/sci-fi/charlie-s-angels-pdf.fountain,DYLAN,0,0,false,false,false,0.33333333333333326
crawl/sci-fi/sully-pdf.fountain,SULLY,0,0,false,false,false,0.9259259259259256
Kung Fu Panda.fountain.txt,PO,1,0,true,false,false,0
crawl/horror/true-romance-html.fountain,CLARENCE,0,0,false,false,false,0
crawl/sci-fi/the-italian-job-pdf.fountain,CHARLIE,0,0,false,false,false,0
dead-frequency.fountain,MAYA,0,0,false,false,false,0
crawl/sci-fi/committed-filmed-as-crazylove-pdf.fountain,LETTY,0,0,false,false,false,0
crawl/comedy/kids.fountain,TELLY,0,0,false,false,false,0
crawl/action/the-crow.fountain,ERIC,0,0,false,false,false,0
crawl/war/spartan-pdf.fountain,SCOTT,0,0,false,false,false,0.2631578947368418
crawl/action/dark-angel-pilot.fountain,MAX,0,0,false,false,false,0
crawl/sci-fi/fury-pdf.fountain,WARDADDY,0,0,false,false,false,0
crawl/action/u-turn.fountain,BOBBY,0,0,false,false,false,0
crawl/adventure/mrs-brown.fountain,BROWN,0,0,false,false,false,0.6338028169014087
crawl/action/assassins.fountain,RATH,0,0,false,false,false,0
crawl/sci-fi/sphere.fountain,NORMAN,0,0,false,false,false,0
crawl/sci-fi/city-of-joy-pdf.fountain,MAX,0,0,false,false,false,0
crawl/action/demolition-man.fountain,WADE,0,0,false,false,false,0
crawl/adventure/the-talented-mr-ripley.fountain,RIPLEY,0,0,false,false,false,0
crawl/sci-fi/mini-s-first-time-pdf.fountain,MINI,0,0,false,false,false,0
crawl/action/avatar-html.fountain,JAKE,0,0,false,false,false,0
